文章ID|標題|content|發文時間|更新時間|回覆數|按讚數|版中文名|作者學校|作者性別|是否使用圖片|是否使用影片|照片連結|媒體連結|連結（版型為連結才有）
238636556|失落謎城（無暴雷）|"昨天去看了失落謎城，
真的蠻普通的，
個人淺見是沒必要去大螢幕去看，
但如果喜歡看查寧塔圖的肌肉💪🏻
https://i.imgur.com/1m1HXXw.jpg
就去吧！
客串的布萊德彼特和他
真的是很帥，
但看到是珊卓布拉克，
也不是討厭她，
但以往她演的片實在都不是爛片就很普拉
https://sticker-assets.dcard.tw/images/c4bdc7da-3a6b-4e62-9e7c-4562b461a9b2/orig.png
看了預告，
蠻想去看超吉任務的，
聽說是近年來的好片
（爛番茄認可，因為這幾年什麼爛片都接🤣）"|2022-04-17T00:44:42.780Z|2022-04-17T00:44:42.780Z|1|2|電影|Mr_Chiu|M|True|False|[{'id': '73976f49-9095-49e9-823a-81c2ed728bcf', 'url': 'https://i.imgur.com/1m1HXXwl.jpg', 'normalizedUrl': 'https://i.imgur.com/1m1HXXwl.jpg', 'thumbnail': 'https://i.imgur.com/1m1HXXwl.jpg', 'type': 'image/thumbnail', 'tags': [], 'createdAt': '2022-04-17T00:44:42.780Z', 'updatedAt': '2022-04-17T00:44:42.780Z', 'width': 1024, 'height': 1392}, {'id': '73976f49-9095-49e9-823a-81c2ed728bcf', 'url': 'https://i.imgur.com/1m1HXXw.jpg', 'normalizedUrl': 'https://imgur.com/1m1HXXw', 'thumbnail': 'https://i.imgur.com/1m1HXXwl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-17T00:44:42.780Z', 'updatedAt': '2022-04-17T00:44:42.780Z', 'width': 1024, 'height': 1392}, {'id': '1f7875bf-21e9-4e36-b35e-ff1f9f1bf265', 'url': 'https://sticker-assets.dcard.tw/images/c4bdc7da-3a6b-4e62-9e7c-4562b461a9b2/orig.png', 'normalizedUrl': 'https://megapx.dcard.tw/v1/images/c4bdc7da-3a6b-4e62-9e7c-4562b461a9b2', 'thumbnail': '', 'type': 'image/sticker', 'tags': [], 'createdAt': '2022-04-17T00:44:42.780Z', 'updatedAt': '2022-04-17T00:44:42.780Z', 'width': 512, 'height': 512}]|[{'url': 'https://i.imgur.com/1m1HXXw.jpg'}, {'url': 'https://sticker-assets.dcard.tw/images/c4bdc7da-3a6b-4e62-9e7c-4562b461a9b2/orig.png'}]|
238636051|坎城2022 肉體恐怖之神-大衛柯能堡睽違8年強勢回歸|"今年坎城影展最令我期待的是肉體恐怖之神-大衛柯能堡睽違已久的新作Crimes of the Future（台灣暫譯：未來犯罪。車庫會進）由Viggo Mortensen, Léa Seydoux, Kristen Stewart主演。我看台灣媒體比較少寫這部，可能柯能堡對普羅大眾來說還是太獵奇了？想看看版上有沒有一樣喜歡這類電影的影癡！
以下附上一張劇照兼梗圖+預告
https://i.imgur.com/IKO7yTS.jpg
美版預告：
https://youtu.be/QVX7df79BNo

法版預告：
https://youtu.be/QGwtPfjt9Zc

原本期待雙大衛會在今年坎城回歸，看來是無緣了😭大衛林區拜託你不要在每天天氣預報當主播了！來個新作讓大家好蒿爽爽吧！

最後順便問一下版上有沒有人在用Letterboxd？有的歡迎互相追蹤ID:Realkinoshit"|2022-04-16T19:41:35.723Z|2022-04-16T19:49:12.644Z|4|9|電影|中國文化大學|M|True|False|[{'id': '41fc6877-28a8-4c3b-b4c1-2ed2baea871b', 'url': 'https://i.imgur.com/IKO7yTSl.jpg', 'normalizedUrl': 'https://i.imgur.com/IKO7yTSl.jpg', 'thumbnail': 'https://i.imgur.com/IKO7yTSl.jpg', 'type': 'image/thumbnail', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-16T19:41:35.723Z', 'updatedAt': '2022-04-16T19:49:12.644Z', 'width': 1125, 'height': 833}, {'id': '41fc6877-28a8-4c3b-b4c1-2ed2baea871b', 'url': 'https://i.imgur.com/IKO7yTS.jpg', 'normalizedUrl': 'https://imgur.com/IKO7yTS', 'thumbnail': 'https://i.imgur.com/IKO7yTSl.jpg', 'type': 'image/imgur', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-16T19:41:35.723Z', 'updatedAt': '2022-04-16T19:49:12.644Z', 'width': 1125, 'height': 833}, {'id': 'd529f1b8-e9c8-4277-9d5f-35d2b43fdb41', 'url': 'https://youtu.be/QVX7df79BNo', 'normalizedUrl': 'https://www.youtube.com/watch?v=QVX7df79BNo', 'thumbnail': 'https://img.youtube.com/vi/QVX7df79BNo/hqdefault.jpg', 'type': 'video/youtube', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-16T19:41:35.723Z', 'updatedAt': '2022-04-16T19:49:12.644Z'}, {'id': 'f9f3d3f1-8af4-4324-8366-f4c9f13da2c5', 'url': 'https://youtu.be/QGwtPfjt9Zc', 'normalizedUrl': 'https://www.youtube.com/watch?v=QGwtPfjt9Zc', 'thumbnail': 'https://img.youtube.com/vi/QGwtPfjt9Zc/hqdefault.jpg', 'type': 'video/youtube', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-16T19:41:35.723Z', 'updatedAt': '2022-04-16T19:49:12.644Z'}]|[{'url': 'https://i.imgur.com/IKO7yTS.jpg'}]|
238635910|#疑問 Eddie Redmaynel 有沒有IG FB之類的官方帳號呢|"想請問大家Eddie Redmaynel，怪獸與鄧不利多的秘密裡面的Newt有沒有IG FB之類的官方帳號呢？
感謝大家了！"|2022-04-16T18:59:21.965Z|2022-04-16T18:59:21.965Z|2|1|電影|中原大學|F|False|False|[]|[]|
238634468|某影評「昆X涂」說魔比斯好看、怪獸與鄧不利多的秘密難看？？？|"滑臉書看到這位”影評”說魔比斯好看，鄧不利多的秘密難看，我實在不能忍

https://www.facebook.com/100044367401875/posts/522349849253924/?d=n

這個自稱影評人，很愛發些不好笑的沒哏哏圖

但這個實在太誇張！

你要踩怪產3拿哈利波特也就算了

竟然拿魔比斯來踩​​怪獸與鄧不利多的秘密！？

魔比斯爛到讓人眼神死耶！

好可能我HP粉太主觀，那來看看爛番茄影評和IMDb 

魔比斯： ​  影評​16%​    爆米花70%​  IMDb 5.2

​​怪獸與鄧不利多的秘密：​   影評49%   爆米花84%​   IMDb 6.6

我不是說鄧不利多的秘密有多好不能罵，但你拿魔比斯來比？

看了他過去的影評

他竟然說魔比斯是成功的起源故事？？？？

​惡靈古堡首部曲：拉昆市，是給電玩迷的情書？？？？？？

到底是他骨骼清奇品味與眾不同，還是索尼給了什麼天大​的​好處​啊？​

反觀蝙蝠俠和怪產就被他痛批 😡

這哏圖讓人​以為​電影是什麼世紀爛片

我真是太火大了！🔥🔥🔥

之前早就知道有些影評不給好處就會寫負評，以此威脅電影公司

馬的合理懷疑搞不好又是一個 😡"|2022-04-16T15:49:28.557Z|2022-04-16T15:49:28.557Z|12|10|電影|景文科技大學|M|False|False|[]|[]|
238634005|#問 失戀愛情片|"想問一下大家有沒有人知道一部中國的電影，片段內容是女主角因為失戀所以站在大樓的頂樓上，拿著遙控器操弄直升機還是什麼的，好想要要把某個失眠的開關關掉？
印象中這部片很好哭但都找不到 QQ"|2022-04-16T15:01:27.066Z|2022-04-16T15:01:27.066Z|0|2|電影|紐約州立大學石溪分校|F|False|False|[]|[]|
238632759|【雷】基情四射！《怪獸與鄧不利多的秘密》迷途知返，是超乎預期的愛情魔法冒險|"三集中唯一沒在及格邊緣掙扎的作品，儘管為了收拾前作、戲外各種爛攤子而疲於奔命，系列最根本的定位問題也陰魂不散，但本片至少做到聚焦於充滿魅力的角色、張力極強的情感衝突和更勝於以往的華麗視覺效果。​
​
《怪獸與鄧不利多的秘密》能不能帶領系列邁向巔峰還很難說，但若撇開前作，這部本身是值得欣賞的一次成功，光是頂替強尼戴普的Mads Mikkelsen就足夠令人驚艷。推薦給所有對奇幻類型、魔法世界甚至是BL有興趣的朋友，若你和我一樣對前兩集有失望和不解，強烈建議放下執著、重新開始，讓我們和怪獸系列一起迷途知返吧！​
https://i.imgur.com/auZRcti.jpg

｜系列觀眾的心路坎坷：現在是最好的上車點｜​
​
怪獸系列做為神作哈利波特的延伸，立足在觀眾對「那個魔法世界」的嚮往，既是巨人的肩膀也是沈重的包袱，前幾年它顯然沒有駕馭好這把兩面刃，茫然混亂找不到定位。2016年《怪獸與他們的產地》介紹奇獸、新角、時空背景等，勉強發揮了作為系列首集的功能性，不過劇情鬆散拖沓、邊緣角色太多的問題，到了2018年《怪獸與葛林戴華德的罪行》更加嚴重，猶記得當初彷彿被編劇戲耍的觀影感受⋯後來只能告訴自己，不期不待不受傷害，僅僅憑著對魔法世界的忠誠堅持下去。​
​
然而，知錯能改、善莫大焉！​
​
即使沒看過前兩集，或看過但完全忘記都沒關係，本集不只在各處有前情提要，劇本更是終於聚焦於新主線上，第二集幾乎所有內容都快速收線或修剪。比如神隱紐特無趣的曖昧對象，奎登斯的闇黑怨靈、法國純血家族認親皆告一段落，畢竟除了維基百科以外，沒人能記清楚這段故事吧！只依稀記得有抱錯嬰兒的八點檔情節，以及這一大坨故事都和主線的關聯薄弱至極...​
​
再加上重要反派葛林戴華德在三集中皆由不同人飾演，從Colin Farrell、Johnny Depp到Mads Mikkelsen，對角色的詮釋截然不同，嚴重影響到世界觀的整體感。綜上所述，直接把本片當作第一集來看也無妨，甚至更好，少了迂迴和斷裂感才能真正投入故事當中。​
https://i.imgur.com/LXRxCQw.jpg

​｜沒有愛就沒有恨，壯年角色成功繪出年少輕狂的愛情｜​
​
「鄧不利多是男同志」JK羅琳這番話早在2007年就引起論戰，直到《怪獸與鄧不利多的秘密》才真正被演繹出來，他與葛林戴華德當年無可自拔地互相吸引，結下聽起來很中二的「血盟」從此再也不能傷害彼此分毫，試想如果能在青蔥歲月裡就找到和自己同樣強大的伴侶，無甚挫折的過去和無限光明的未來，都讓他們沒有理由不去深信，兩人同心就能改變世界，而世界永遠無法撼動他們的愛情。​
​
魔法世界難得用感情線撐起一整部電影，但這次Jude Law和Mads Mikkelsen都展現精采演技、火花四濺，並且最引人入勝之處在於，對世界而言兩人是一正一邪，但在這段感情中其實沒有壞人。魔仗相向並不是因為厭惡你的人，只是理念上巨大的分歧導致無法更靠近彼此，卻也做不到真正遠離對方。只因深愛過才會感覺被背叛，最終歸結於理性與感性間的無解難題「你那麼愛我，為什麼還是不能為我改變？」並且反之亦然。​
​
魔法世界是否要進攻、整合麻瓜世界，讓「更優越」卻必須偷偷摸摸生活的巫師們活在太陽下，像變種人一樣是很經典的命題，其深度很大程度來自於激進的一方，能否展現出進攻背後的各層次的理由，從真正的委屈（比如愛上麻瓜卻被視為異端）到擴張的野心（極大化生活空間、自由程度等），最好能做到於情於理都讓人有理由追隨、產生同理心。而Mads Mikkelsen的確很適合詮釋這樣的領導角色，他對鄧不利多的溫柔、對手下從容不迫的各種誘導，激進、精於謀略且極具領袖魅力，相對於Johnny Depp詮釋出神秘癲狂、邪惡鬼才的形象，前者儼然是巫師希特勒，後者更像是巫師Joker，從感情線來說前者更合理一些，畢竟鄧不利多感覺不像是Harley Quinn這種瘋狂戀愛腦，而就未來的正邪大戰來說，Mads詮釋的葛林戴華沒有Johnny的適合一枝獨秀，卻會是很有說服力的領導反派。​
​
https://i.imgur.com/JigfW39.jpg

｜紐特真的只是被牽連進大事件的無辜弱小動物學家｜​
​
鄧不利多與葛林戴華德的衝突是本系列真正骨幹，就好比最終戰勝佛地魔的是被選中之人，以哈利波特為主角的系列才那麼引人入勝、一氣呵成，《怪獸與他們的產地》從一開始就是節外生枝，為了延伸一本書的故事而從奇獸飼育家紐特出發，問題是他一開始就不在核心藍圖裡，不論再怎麼硬寫他和主軸的關聯，千絲萬縷終究都是不堪一擊的細線，這集已經盡可能改過自新、從真正的主角鄧不利多出發，還是礙於系列的枷鎖，只能在最後由鄧不利多突兀地說：「紐特，沒有你我真的不行。」但其實...沒有他也沒關係耶？紐特是和奎登斯類似的重要棋子，遠遠不足以做為主要視角。​
​
思及此就深感對系列未來的徬徨，五集已經過半，好像真的沒有完整的、精彩的設計，年年時辰到了就趕快找一小段故事來拍，撐著不讓魔法世界被世人遺忘、周邊商品和樂園能推陳出新。身為影迷終究期待後續兩集能令人驚艷，只要別再走進暈頭轉向、浪費時間的劇情迷宮中，導演考慮減少一點場景轉換、認真打磨重要情節，狠下心來對紐特放手也不是不可以。

更多文章請見IG @funingee_
https://www.instagram.com/p/CcaWc-ApX71/
https://i.imgur.com/IWoTqVF.jpg"|2022-04-16T12:46:01.702Z|2022-04-16T12:47:06.167Z|3|28|電影|放映雞|F|True|False|[{'id': 'e7870ff1-c2f2-42fd-8733-2bc011d8026d', 'url': 'https://i.imgur.com/auZRctil.jpg', 'normalizedUrl': 'https://i.imgur.com/auZRctil.jpg', 'thumbnail': 'https://i.imgur.com/auZRctil.jpg', 'type': 'image/thumbnail', 'tags': [], 'createdAt': '2022-04-16T12:46:01.702Z', 'updatedAt': '2022-04-16T12:47:06.167Z', 'width': 3840, 'height': 2160}, {'id': 'e7870ff1-c2f2-42fd-8733-2bc011d8026d', 'url': 'https://i.imgur.com/auZRcti.jpg', 'normalizedUrl': 'https://imgur.com/auZRcti', 'thumbnail': 'https://i.imgur.com/auZRctil.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-16T12:46:01.702Z', 'updatedAt': '2022-04-16T12:47:06.167Z', 'width': 3840, 'height': 2160}, {'id': '6b9415f7-4698-476d-bec9-9ad309be493d', 'url': 'https://i.imgur.com/LXRxCQw.jpg', 'normalizedUrl': 'https://imgur.com/LXRxCQw', 'thumbnail': 'https://i.imgur.com/LXRxCQwl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-16T12:46:01.702Z', 'updatedAt': '2022-04-16T12:47:06.167Z', 'width': 3840, 'height': 2160}, {'id': '85de0b0f-c528-446a-90c3-7c1ea3806343', 'url': 'https://i.imgur.com/JigfW39.jpg', 'normalizedUrl': 'https://imgur.com/JigfW39', 'thumbnail': 'https://i.imgur.com/JigfW39l.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-16T12:46:01.702Z', 'updatedAt': '2022-04-16T12:47:06.167Z', 'width': 3840, 'height': 2160}, {'id': 'fa51b356-6724-4030-b624-0a71ae448f28', 'url': 'https://i.imgur.com/IWoTqVF.jpg', 'normalizedUrl': 'https://imgur.com/IWoTqVF', 'thumbnail': 'https://i.imgur.com/IWoTqVFl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-16T12:46:01.702Z', 'updatedAt': '2022-04-16T12:47:06.167Z', 'width': 3840, 'height': 2160}]|[{'url': 'https://i.imgur.com/auZRcti.jpg'}, {'url': 'https://i.imgur.com/LXRxCQw.jpg'}, {'url': 'https://i.imgur.com/JigfW39.jpg'}, {'url': 'https://i.imgur.com/IWoTqVF.jpg'}]|
238632722|威秀ishow 卡儲值|"想問一下
威秀的ishow 卡只能用信用卡儲值嗎
還是可以到櫃檯用現金儲值呢～
因為是學生 現在還沒有信用卡
再麻煩大家幫忙解答了🙇‍♀️🙇‍♀️"|2022-04-16T12:40:41.320Z|2022-04-16T12:40:41.320Z|2|1|電影|臺北醫學大學|F|False|False|[]|[]|
238630306|#推薦 真實事件改編電影 TOP 5|"嗨！大家！又到了推薦類型電影（我心中的）ＴＯＰ５
這次想討論的是真實事件改編～
不過認真看了一下列表自己看過的真實事件改編電影其實偏少
再扣掉小說改編　因為有些小說並不是真實事件
加上大部分的改編都偏勵志類型（ex.攻其不備、關鍵少數...之類的）
我的興趣就沒有很高哈哈哈哈
不過改編電影會為了故事的精彩性加上一些虛構劇情
所以大家在看得時候不要太信以為真


這邊順便給大家複習之前分享過的ＴＯＰ５們
https://www.dcard.tw/f/movie/p/237991086
https://www.dcard.tw/f/movie/p/234322301

有興趣的朋友可以進去看看或是繼續看下面的推薦！
⚠️推薦程度完全是個人標準與觀感⚠️
⚠️會推薦就是喜歡，不做評分⚠️
⚠️此次分享會有部分暴雷，請斟酌閱讀⚠️


ＴＯＰ５　華爾街之狼 (The Wolf of Wall Street, 2013) 美國/傳記/黑色喜劇
https://i.imgur.com/vxLVP3q.jpg
改編自前股票經紀人和商人Jordan Belfort 所寫的非小說回憶錄
相較於傳統劇作的正義又散發著聖光的主角們，「華爾街之狼」Jordan Belfort 可說是惡名昭彰，毒品、炒股、詐欺、腥羶色等等慾望樣樣來，內容揭露了很多證卷界的黑暗面，然而主角最終也有受到法律制裁並不是一個逍遙法外又若無其事分享的故事。

ＴＯＰ４　追龍 (Chasing the Dragon, 2017) 香港/改編/犯罪/動作
https://i.imgur.com/Wr9Ie9X.jpg
改編自吳錫豪(跛豪)與香港四大探長之一呂樂(雷洛)的部分故事
追龍是粵語中以鼻子吸毒的意思，跛豪(劇中伍世豪)自中國偷渡至香港，從地痞混混到掌握香港毒品界的大佬，與黑白通吃的探長雷洛建立的黑社會加警政界的貪污世界裡大賺一筆，犯罪片當然少不了腥羶色加上故事主角是一名毒販戲劇張力更刺激緊張，喜歡香港警匪片的朋友不要錯過這一部！

ＴＯＰ３　我發瘋的那段日子 (Brain on Fire, 2016) 美國/傳記/劇情
https://i.imgur.com/sfH0mzH.jpg
改編自美國新聞記者、作家Susannah Cahalan 的自傳
主角因為受到罕見疾病—抗NMDA受體腦炎的折磨，時常聽到幻聽或是有些""發瘋""的行為被身邊的人以為是罹患精神分裂症，但事實上是因為這個罕見疾病會攻擊自身大腦的細胞而讓他的行為失控，好在他被送入醫院後遇見了一個細心的醫師診斷出他的真實病況，也是整部電影最有名的一段「醫師請女主角畫一個時鐘，卻發現數字全部都集中在右半邊」就是因為這段讓女主角受到了正確的疾病治療。

ＴＯＰ２　熔爐 (Silenced, 2011) 韓國/改編/劇情
https://i.imgur.com/sP1BD0O.jpg
改編自공지영同名小說，後來小說被爆料為真實事件改編
男主角是一位美術老師被聘請到一間聾啞學校任教，原以為這間學校就是陰沉了點沒什麼，卻意外的發現校長、教職人員連同至行政人員對這些孩子們施以性暴力，就因為他們天生或後天聾啞無法大聲呼救或是以老師、長輩這樣的權威壓制、脅迫他們屈服，整部劇情偏沉重在觀看得過程中真得會氣到發抖，最後也無所謂得Happy Ending，有興趣的朋友觀看前建議先做好心理建設......


ＴＯＰ１　末代皇帝 (The Last Emperor, 1987) 義、英、中/傳記/歷史
https://i.imgur.com/WOYIQwA.jpg
改編自中國最後一任皇帝愛新覺羅·溥儀自傳《我的前半生》
講述中國末代皇帝溥儀的生平故事，自出生就面臨清朝衰落滅亡，從萬人之到為一名掛名得魁儡領導者再到中國勞動改造和思想教育得囚犯，沒有什麼人可以經歷這麼精彩又悲慘的人生，更沒有一名皇帝現身可以親述紫禁城內得輝煌到衰敗，以一部改編電影來說整體故事真的很戲劇化但卻又很真實，這是為什麼我將它排名在第一名的原因！


最後呼籲大家很多電影在電影院、付費平台和實體DVD商店(或是少量的租借店)都看得到，希望大家還是不要以盜版取代正版，多多看正版來源也算是給電影視界的一些小小支持喔～
會這麼呼籲是因為想到當初在電影院看完末代皇帝的數位修復版後差點衝去唱片行購買實體DVD收藏哈哈哈哈哈

最後，如果喜歡我的推薦也可以去追蹤IG喔~
https://www.instagram.com/movieee.record/"|2022-04-16T07:27:21.737Z|2022-04-16T07:27:21.737Z|2|28|電影|赫卡忒 🌑|F|True|False|[{'id': '9253c87e-dfd1-49b4-bff9-ab9f8034cde1', 'url': 'https://i.imgur.com/vxLVP3ql.jpg', 'normalizedUrl': 'https://i.imgur.com/vxLVP3ql.jpg', 'thumbnail': 'https://i.imgur.com/vxLVP3ql.jpg', 'type': 'image/thumbnail', 'tags': [], 'createdAt': '2022-04-16T07:27:21.737Z', 'updatedAt': '2022-04-16T07:27:21.737Z', 'width': 2408, 'height': 3500}, {'id': '9253c87e-dfd1-49b4-bff9-ab9f8034cde1', 'url': 'https://i.imgur.com/vxLVP3q.jpg', 'normalizedUrl': 'https://imgur.com/vxLVP3q', 'thumbnail': 'https://i.imgur.com/vxLVP3ql.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-16T07:27:21.737Z', 'updatedAt': '2022-04-16T07:27:21.737Z', 'width': 2408, 'height': 3500}, {'id': 'a117b6cc-4bdc-4d76-a7d2-b4b5478e5358', 'url': 'https://i.imgur.com/Wr9Ie9X.jpg', 'normalizedUrl': 'https://imgur.com/Wr9Ie9X', 'thumbnail': 'https://i.imgur.com/Wr9Ie9Xl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-16T07:27:21.737Z', 'updatedAt': '2022-04-16T07:27:21.737Z', 'width': 678, 'height': 950}, {'id': 'de41e14e-9bb0-4399-b868-bd2f1a9e63a6', 'url': 'https://i.imgur.com/sfH0mzH.jpg', 'normalizedUrl': 'https://imgur.com/sfH0mzH', 'thumbnail': 'https://i.imgur.com/sfH0mzHl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-16T07:27:21.737Z', 'updatedAt': '2022-04-16T07:27:21.737Z', 'width': 768, 'height': 1152}, {'id': '032c4fcd-1c1e-42c0-8812-6c515d608adf', 'url': 'https://i.imgur.com/sP1BD0O.jpg', 'normalizedUrl': 'https://imgur.com/sP1BD0O', 'thumbnail': 'https://i.imgur.com/sP1BD0Ol.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-16T07:27:21.737Z', 'updatedAt': '2022-04-16T07:27:21.737Z', 'width': 1006, 'height': 1500}, {'id': '4b05e41c-9580-4ad3-b421-33ad3fd24f9e', 'url': 'https://i.imgur.com/WOYIQwA.jpg', 'normalizedUrl': 'https://imgur.com/WOYIQwA', 'thumbnail': 'https://i.imgur.com/WOYIQwAl.jpg', 'type': 'image/imgur', 'tags': [], 'createdAt': '2022-04-16T07:27:21.737Z', 'updatedAt': '2022-04-16T07:27:21.737Z', 'width': 1985, 'height': 3000}]|[{'url': 'https://i.imgur.com/vxLVP3q.jpg'}, {'url': 'https://i.imgur.com/Wr9Ie9X.jpg'}, {'url': 'https://i.imgur.com/sfH0mzH.jpg'}, {'url': 'https://i.imgur.com/sP1BD0O.jpg'}, {'url': 'https://i.imgur.com/WOYIQwA.jpg'}]|
238629223|想請問影城2D與3D的問題|"説來慚愧 小時候去過一次 就沒去過了

最近鄧布利多上了 想去看 大家都説3D比2D效果好

所以我在網路上看場次與訂票 發現全都是2D的 沒有3D的選擇

請問是怎麽回事？3D的是需要去影城才能訂到嗎？為什麽我網站或APP都只看得到2D的場次/(ㄒoㄒ)/~~"|2022-04-16T05:00:18.372Z|2022-04-16T05:00:56.690Z|3|1|電影|國立中興大學|M|False|False|[]|[]|
238628852|#超負雷 祖怨是在啥小|"這是什麼廢片
全片110分鐘沒有地方可以看
號稱恐怖勝過厲陰宅 只是號稱而已
鬼特效簡直3毛
後面掉進洞裡 莫名奇妙變成精神病恐怖片
頭七都比它好看"|2022-04-16T04:01:43.664Z|2022-04-16T04:01:43.664Z|1|2|電影|崇仁醫護管理專科學校|M|False|False|[]|[]|
238626707|看完怪獸與鄧不利多的秘密被洗腦 無雷|"https://youtu.be/dMa07V_PESY

有人跟我一樣被這個洗腦嗎？
比火佛修一還洗那種"|2022-04-15T17:17:14.380Z|2022-04-15T17:17:14.380Z|5|12|電影|國立臺北科技大學|M|False|False|[{'id': '1d8a1414-40df-4eee-b1fd-f99c3ca71c4f', 'url': 'https://youtu.be/dMa07V_PESY', 'normalizedUrl': 'https://www.youtube.com/watch?v=dMa07V_PESY', 'thumbnail': 'https://img.youtube.com/vi/dMa07V_PESY/hqdefault.jpg', 'type': 'video/youtube', 'tags': ['ANNOTATED'], 'createdAt': '2022-04-15T17:17:14.380Z', 'updatedAt': '2022-04-15T17:17:14.380Z'}]|[]|
238626662|怪獸與鄧不力多的祕密 劇情疑問(有雷|"怪獸與他們的產地 看解說版
怪獸與葛林戴華德的罪刑 看電影

今天看完第三集滿滿傻眼

回家路上跟女友討論劇情
直接被嗆到底有沒有認真看
身為電影人直接爆氣
找了很多相關新聞跟解說還是沒講到

疑問點一、
我前幾天才看第二部
尾聲回憶帶到莉塔當年""換小孩事件""導致另一艘救生艇的人升天
所以叫尤瑟夫·卡瑪 不要殺錯人
魁登斯不是雷斯壯家小弟
雷小弟早就去吃便當了
女友說換過來的小孩就是魁登斯(我完全沒看到這個部分)
一直堅持第二部有講

疑問點二、
女友剛剛看完直接說魁登斯就是鄧不力多小弟跟小妹的亂倫之子
我直接黑人問號
剛剛電影只有講是小弟的兒子吧
我搜尋網路根本沒講到這件事

疑問點三、
呈上題
其實我不知道小弟的兒子當初為什麼要坐船往美國
還有弟弟知道有這小孩幹嘛不想找這小孩的感覺


疑問點四、
前面一直在找自己的身世
為什麼知道自己是鄧家子孫就已經找到自己的血脈了
幹嘛不乖乖回家就好認祖歸宗
在外面跟葛葛發神經殺大伯是哪招

女友說就因為小弟兒子是亂倫之子回不了家blablabla
我直接黑人問號
劇情或台詞哪有講到這段

BTW這系列電影真的OP出現一大堆結果都是路人的角色
魔法部紐特的替代打手
葛林戴華德被燒死的手下
第二部開場差點海上摔死的某某人
紐特的很多畫面管家(?)
雷斯壯大哥莫名亂入然後尾聲說你這些年追殺錯人囉
一大堆破碎與主線無關不知所以然的劇情片段跟敘述"|2022-04-15T17:12:34.676Z|2022-04-15T17:20:38.587Z|7|6|電影|國立臺北科技大學|M|False|False|[]|[]|
238625808|#有雷 #求解 怪獸與鄧不利多的秘密|"有雷
有雷
有雷
有問題

剛剛終於趁著下班衝進電影院觀看了熱騰騰的怪獸3
比起幾乎是人間蒸發的蒂娜
我更好奇為什麼最後血盟會銷毀？？？
到底為什麼啊有人知道嗎🥺"|2022-04-15T15:41:07.639Z|2022-04-15T15:41:07.639Z|7|6|電影|衰小嘎咩系|F|False|False|[]|[]|
238625452|#問 失落迷城|"請問有人看過失落迷城嗎？
請問推不推？
看預告覺得還不錯
但又怕是那種要好笑不好笑、要冒險不冒險的雷片"|2022-04-15T15:06:37.509Z|2022-04-15T15:06:37.509Z|7|0|電影|世新大學|F|False|False|[]|[]|
